Model,Seed,Team,Round64,Round32,Sweet16,Elite8,Final4,TitleGame,AvgPts,ExpValue
model_9,11,VCU,23.2%,0.0%,0.0%,0.0%,0.0%,0.0%,67.2,$2.28
model_9,5,Vanderbilt,99.9%,60.5%,6.3%,0.9%,0.0%,0.0%,72.2,$24.99
model_9,8,Villanova,43.9%,0.0%,0.0%,0.0%,0.0%,0.0%,67.1,$4.30
model_9,3,Virginia,100.0%,55.4%,7.7%,0.1%,0.0%,0.0%,74.0,$23.93
model_9,5,Wisconsin,99.9%,29.2%,0.1%,0.0%,0.0%,0.0%,71.8,$15.60
model_9,14,Wright State,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.9,$0.00
model_10,12,Akron,15.2%,2.3%,0.0%,0.0%,0.0%,0.0%,72.9,$1.95
model_10,4,Alabama,91.4%,54.5%,10.3%,4.9%,1.7%,0.4%,81.0,$31.52
model_10,1,Arizona,99.9%,90.3%,76.3%,58.4%,30.6%,17.4%,77.3,$207.71
model_10,4,Arkansas,95.3%,61.2%,14.4%,6.1%,1.3%,0.3%,80.6,$35.12
model_10,6,BYU,66.8%,23.2%,7.4%,1.3%,0.2%,0.0%,77.8,$15.41
model_10,13,California Baptist,6.4%,0.5%,0.0%,0.0%,0.0%,0.0%,64.6,$0.71
model_10,8,Clemson,47.5%,5.8%,1.5%,0.2%,0.0%,0.0%,68.8,$6.60
model_10,1,Duke,100.0%,94.5%,83.4%,73.0%,50.2%,32.8%,72.4,$302.76
model_10,1,Florida,100.0%,86.8%,64.2%,37.9%,15.7%,5.8%,78.5,$125.66
model_10,15,Furman,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,61.8,$0.10
model_10,8,Georgia,56.8%,3.3%,0.8%,0.2%,0.0%,0.0%,78.0,$6.71
model_10,3,Gonzaga,98.1%,70.4%,33.8%,10.2%,2.6%,0.7%,78.6,$51.39
model_10,13,Hawaii,4.7%,0.5%,0.0%,0.0%,0.0%,0.0%,70.0,$0.56
model_10,12,High Point,11.4%,0.9%,0.0%,0.0%,0.0%,0.0%,73.3,$1.29
model_10,13,Hofstra,8.6%,1.1%,0.0%,0.0%,0.0%,0.0%,71.7,$1.06
model_10,2,Houston,99.0%,81.7%,50.9%,28.5%,10.9%,3.7%,74.0,$97.67
